id,name,segment_ids,description,part_of
493,Spring Forest Trail,2865,,
494,Spring Trail,185,,
495,Squire Trail,179,,
496,Stirrup Iron Creek Greenway,4381; 4382; 4385,,
497,Stone Creek Greenway,3429,,
498,Stonewater Greenway,3580,,
499,Summers Connector Trail,3502,,
500,Sunset Hills Greenway,3766,,
501,Sutton Place Greenway,3780,,
502,Swift Creek GW Connector,6576,,
503,Swift Creek Greenway,1; 160; 220; 3533; 3549; 3553; 3610; 3632; 3880; 3968; 3969; 4068; 6182; 6544; 6545; 6572; 6573; 6574; 6575; 6577; 6606,,
504,Sycamore Trail,6193; 6194; 6195; 6205; 6208,,
505,Symphony Lake Connector Trail,3981,,
506,Symphony Lake Greenway,3550; 3609,,
507,Tarbert Sidewalk Connector,3446,,
508,Ten Ten Rd Street-Side Trail,6143,,
509,Ten Ten Road Street Side Trail,6511,,
510,Terrible Creek Trail,170; 3095; 3142,,
511,Thomas Brooks Park Greenway,3920; 3921; 3922; 6808; 6809,,
512,Tom's Creek Greenway,103,,
513,Toscana GW Connector,3842,,
514,Toscana Greenway,3845,,
515,Town Park Trail,177; 184,,
516,Trinity Rd Street-Side Trail,3467; 3646; 3852; 6157,,
517,Tryon Village Greenway,3988,,
518,Twin Lakes Greenway,3388,,
519,Tyler Run Park Greenway,4281,,
520,US 64 HWY W,3747; 3748; 3749; 3750,,
521,US Bike Route 5,9,,
522,Unknown Umstead Trail,279,,
523,Upchurch Meadow Rd Street-Side,6124,,
524,Upper Buffalo Trail,112,,
525,Upper Moccasin Trail,116,,
526,Upper Neuse River Segment,5992; 5993; 6007; 6008; 6010; 6011; 6012; 6013; 6015; 6016; 6019; 6020; 6021; 6031; 6492,,
527,Upper Walnut,2893; 6226; 6228,,
528,Varina Rail Trai,171,,
529,Village at the Park Street Side Trail,6169,,
530,Village at the Park Street-Side Trail,3586; 3587,,
531,Vision Drive Multi-Use Path,6764,,
532,W Chatham St Connector,6539,,
533,Wade Stephenson Rd,2423,,
534,Wake Forest Crossing,4303; 4304,,
535,Wakefield Trail,622; 624; 3958,,
536,Walnut Creek Greenway,3530; 6506; 6507; 6508,,
537,Walnut Creek Trail,6230; 6233,,
538,Walnut St Sidewalk Connector,3450,,
539,Watkins Connector,4373,,
540,Watkins Road,15,,
541,Weldon Ridge Greenway,3603; 4113; 6814; 6815,,
542,Wendell Blvd,26,,
543,West Millbrook Trail,3957,,
544,West Williams Multi-Use Path,6774,,
